# Frozen replay corpus — issue #806. DO NOT REGENERATE.
#
# A redacted 48 h slice of the operator's live usage store, [2026-07-24T00:00Z,
# 2026-07-26T00:00Z), covering the two worst days of the Jul-2026 fleet drain.
# Frozen INPUT, not a regenerated golden: there is no emitter to re-run.
#
# Refreshing this against a live store does not UPDATE the gate, it DESTROYS it,
# three ways at once. The window moves off capacity-replay-oracle.tsv, so the
# cross-surface differential silently compares two unrelated 48 h. The frozen
# figures in src/usage_stats.rs must then be rebaselined to whatever the aggregator
# says that day, which converts a gate into a tautology — the exact shape of
# blindness issue #806 exists to end. And a fresh cut carries the operator's real
# email addresses back into a committed file. If the aggregator legitimately
# changes, move the FIGURES in the test and leave these bytes alone.
#
# REDACTION (total, and lossless for every metric computed over it): the store's
# `acct` holds real email addresses, so each is mapped to a stable `a1`..`a6`
# handle; `provider` is dropped (single-valued `claude` throughout); and every
# instant is stored as a signed offset from CORPUS_START. `acct` is only ever a
# BTreeMap grouping key, so the mapping preserves every algorithmic input.
#
# Columns, tab-separated:
#   ts_off  acct  session  weekly  session_reset_off  weekly_reset_off
# A reset column is EMPTY when the store carried no reset for that dimension.
# Reset offsets routinely exceed the window — a weekly reset lands days out — and
# the format signs them so a reset already in the past can be expressed, though
# this particular slice happens to carry none. The two reset columns are
# load-bearing: the capacity-holds census is RESET-anchored, so a corpus without
# them would replay the cadence-anchored pathology the metric exists to avoid
# rather than the metric.
92	a1	0.84	0.69	10200	424800
184	a1	0.85	0.69	10200	424800
226	a2	0.02	0.64	18000	388800
284	a1	0.86	0.69	10200	424800
395	a2	0.03	0.64	18000	388800
522	a2	0.04	0.64	18000	388800
618	a2	0.04	0.64	18000	388800
711	a2	0.04	0.64	18000	388800
769	a1	0.86	0.69	10199	424799
815	a2	0.04	0.64	18000	388800
925	a2	0.04	0.64	18000	388800
1023	a2	0.04	0.64	18000	388799
1127	a2	0.04	0.64	18000	388799
1245	a2	0.04	0.64	18000	388799
1305	a1	0.86	0.69	10200	424800
1362	a2	0.04	0.64	18000	388800
1456	a2	0.04	0.64	18000	388800
1570	a2	0.04	0.64	18000	388800
1616	a3	0.0	1.0		129599
1671	a2	0.04	0.64	18000	388800
1730	a4	0.0	0.97	3000	352800
1789	a2	0.04	0.64	18000	388800
1837	a1	0.86	0.69	10200	424800
1894	a2	0.04	0.64	18000	388800
2000	a2	0.04	0.64	18000	388800
2089	a2	0.04	0.64	18000	388800
2184	a2	0.04	0.64	18000	388800
2272	a2	0.04	0.64	18000	388800
2326	a1	0.86	0.69	10200	424800
2385	a2	0.04	0.64	18000	388800
2435	a5	0.0	0.97	12599	259199
2481	a2	0.04	0.64	18000	388800
2594	a2	0.04	0.64	18000	388800
2698	a2	0.04	0.64	18000	388800
2797	a2	0.04	0.64	18000	388800
2864	a1	0.86	0.69	10200	424800
2927	a2	0.04	0.64	18000	388800
3020	a2	0.04	0.64	18000	388800
3116	a2	0.04	0.64	17999	388799
3208	a2	0.04	0.64	18000	388800
3301	a2	0.04	0.64	18000	388800
3345	a1	0.86	0.69	10200	424800
3545	a6	0.0	0.97	16200	378000
3621	a2	0.04	0.64	17999	388799
3887	a1	0.86	0.69	10199	424799
3937	a2	0.04	0.64	17999	388799
4046	a2	0.04	0.64	18000	388800
4175	a2	0.04	0.64	17999	388799
4290	a2	0.04	0.64	17999	388799
4402	a2	0.04	0.64	17999	388799
4459	a1	0.86	0.69	10200	424800
4501	a2	0.04	0.64	17999	388799
4594	a2	0.04	0.64	18000	388800
4681	a2	0.04	0.64	17999	388799
4778	a2	0.04	0.64	18000	388800
4881	a2	0.04	0.64	18000	388800
4907	a1	0.86	0.69	10200	424800
4950	a2	0.04	0.64	17999	388799
5051	a2	0.04	0.64	18000	388800
5343	a2	0.04	0.64	17999	388799
5404	a1	0.86	0.69	10199	424799
5453	a2	0.04	0.64	18000	388800
5574	a2	0.04	0.64	18000	388800
5680	a2	0.04	0.64	18000	388800
5737	a3	0.0	1.0		129599
5785	a2	0.04	0.64	17999	388799
5820	a4	0.0	0.97		352800
5879	a2	0.04	0.64	17999	388799
5938	a1	0.86	0.69	10199	424799
5977	a2	0.04	0.64	17999	388799
6062	a2	0.04	0.64	17999	388799
6163	a2	0.04	0.64	18000	388800
6255	a2	0.04	0.64	17999	388799
6364	a1	0.86	0.69	10199	424799
6460	a5	0.0	0.97	12600	259200
6510	a2	0.04	0.64	17999	388799
